id_client,polynomial_ma_1,polynomial_ar_1,cluster,cluster_DBSCAN
330,,,2.0,29.0
331,,,2.0,29.0
332,0.9986519302984322,,2.0,29.0
333,,,2.0,29.0
334,,,2.0,29.0
335,,,2.0,29.0
336,,,2.0,29.0
337,,,2.0,29.0
338,,,2.0,29.0
339,,,2.0,29.0
340,,,2.0,29.0
341,,,2.0,29.0
342,,,2.0,29.0
343,,,2.0,29.0
344,-0.994516897887398,-0.999995496480736,0.0,8.0
345,,,2.0,29.0
346,-0.9995396244603444,-0.6167569478201285,0.0,0.0
347,,,2.0,29.0
348,-0.4415069730255825,,2.0,29.0
349,,,2.0,29.0
350,,,2.0,29.0
351,0.99743856978078,0.07337471007457534,1.0,1.0
352,,,2.0,29.0
353,,,2.0,29.0
